"date","pt","dose","coverage"
2021-05-01,"Prince Edward Island","dose_1",27.62
2021-05-01,"Prince Edward Island","dose_2",6.47
2021-05-01,"Nova Scotia","dose_1",28.61
2021-05-01,"Nova Scotia","dose_2",3.69
2021-05-01,"New Brunswick","dose_1",30.91
2021-05-01,"New Brunswick","dose_2",3.45
2021-05-01,"Quebec","dose_1",36.14
2021-05-01,"Quebec","dose_2",1.21
2021-05-01,"Ontario","dose_1",33.4
2021-05-01,"Ontario","dose_2",2.53
2021-05-01,"Manitoba","dose_1",29.79
2021-05-01,"Manitoba","dose_2",5.29
2021-05-01,"Saskatchewan","dose_1",34.48
2021-05-01,"Saskatchewan","dose_2",3.77
2021-05-01,"Alberta","dose_1",29.38
2021-05-01,"Alberta","dose_2",6.61
2021-05-01,"British Columbia","dose_1",34.16
2021-05-01,"British Columbia","dose_2",1.76
2021-05-01,"Yukon","dose_1",58.66
2021-05-01,"Yukon","dose_2",52.01
2021-05-01,"Northwest Territories","dose_1",60.56
2021-05-01,"Northwest Territories","dose_2",49.85
2021-05-01,"Nunavut","dose_1",40.73
2021-05-01,"Nunavut","dose_2",31.79
2021-05-08,"Newfoundland and Labrador","dose_1",37.19
2021-05-08,"Newfoundland and Labrador","dose_2",1.86
2021-05-08,"Prince Edward Island","dose_1",32.01
2021-05-08,"Prince Edward Island","dose_2",6.66
2021-05-08,"Nova Scotia","dose_1",32.88
2021-05-08,"Nova Scotia","dose_2",3.8
2021-05-08,"New Brunswick","dose_1",35.19
2021-05-08,"New Brunswick","dose_2",3.83
2021-05-08,"Quebec","dose_1",41.13
2021-05-08,"Quebec","dose_2",2.03
2021-05-08,"Ontario","dose_1",38.81
2021-05-08,"Ontario","dose_2",2.65
2021-05-08,"Manitoba","dose_1",34.23
2021-05-08,"Manitoba","dose_2",5.47
2021-05-08,"Saskatchewan","dose_1",40.83
2021-05-08,"Saskatchewan","dose_2",3.93
2021-05-08,"Alberta","dose_1",35.03
2021-05-08,"Alberta","dose_2",6.98
2021-05-08,"British Columbia","dose_1",39.28
2021-05-08,"British Columbia","dose_2",2.04
2021-05-08,"Yukon","dose_1",59.92
2021-05-08,"Yukon","dose_2",53.13
2021-05-08,"Northwest Territories","dose_1",62.8
2021-05-08,"Northwest Territories","dose_2",51.75
2021-05-08,"Nunavut","dose_1",41.66
2021-05-08,"Nunavut","dose_2",32.68
2021-05-15,"Newfoundland and Labrador","dose_1",43.37
2021-05-15,"Newfoundland and Labrador","dose_2",1.9
2021-05-15,"Prince Edward Island","dose_1",37.81
2021-05-15,"Prince Edward Island","dose_2",7.15
2021-05-15,"Nova Scotia","dose_1",39.16
2021-05-15,"Nova Scotia","dose_2",3.95
2021-05-15,"New Brunswick","dose_1",40.97
2021-05-15,"New Brunswick","dose_2",4.23
2021-05-15,"Quebec","dose_1",47.34
2021-05-15,"Quebec","dose_2",4.12
2021-05-15,"Ontario","dose_1",44.77
2021-05-15,"Ontario","dose_2",2.9
2021-05-15,"Manitoba","dose_1",40.51
2021-05-15,"Manitoba","dose_2",5.85
2021-05-15,"Saskatchewan","dose_1",46.97
2021-05-15,"Saskatchewan","dose_2",4.13
2021-05-15,"Alberta","dose_1",41.64
2021-05-15,"Alberta","dose_2",7.21
2021-05-15,"British Columbia","dose_1",45.88
2021-05-15,"British Columbia","dose_2",2.5
2021-05-15,"Yukon","dose_1",61.11
2021-05-15,"Yukon","dose_2",54.11
2021-05-15,"Northwest Territories","dose_1",65.22
2021-05-15,"Northwest Territories","dose_2",52.81
2021-05-15,"Nunavut","dose_1",42.4
